,Batsmen,Matches,Runs,4,6,Wickets,Balls,50,100,0,High_Score
0,SP Narine,143,1542,164,74,104,1235,2,0,15,75
1,G Gambhir,359,13394,1524,93,312,16619,106,20,23,276
2,RV Uthappa,221,5554,567,177,193,4550,28,0,12,87
3,MK Pandey,138,3262,280,84,109,2732,17,2,15,114
4,YK Pathan,212,4268,336,221,148,3092,19,2,20,123
5,SA Yadav,70,1501,154,46,53,1114,7,0,4,72
6,C de Grandhomme,58,1240,86,63,43,1064,7,0,5,83
7,CR Woakes,100,1859,164,21,60,2759,9,0,8,95
8,NM Coulter-Nile,55,515,29,31,36,417,1,0,7,92
9,Kuldeep Yadav,12,54,5,0,5,77,0,0,3,16
10,UT Yadav,79,453,46,17,38,711,0,0,17,39
11,CH Gayle,380,13659,1312,730,337,13021,101,21,27,333
12,V Kohli,470,21206,2087,339,387,23983,167,51,17,256
13,Mandeep Singh,85,1579,167,32,68,1239,6,0,9,77
14,AB de Villiers,482,20984,1929,506,372,23959,170,50,24,303
15,KM Jadhav,96,1830,170,52,61,1467,8,2,7,120
16,STR Binny,84,1339,114,42,57,1257,2,0,8,79
17,S Badree,16,49,2,0,8,72,0,0,2,14
18,P Negi,35,365,27,16,23,278,0,0,3,36
19,TS Mills,10,23,1,2,6,24,0,0,3,7
20,S Aravind,10,59,7,0,3,56,0,0,2,14
21,YS Chahal,13,26,1,0,5,49,0,0,2,5
22,Iman-ul-Haq,2,93,6,3,2,135,1,0,0,62
23,Qalandar Khan,6,152,17,5,6,225,1,0,1,72
24,Mohammad Rizlan,13,321,24,11,9,489,1,0,0,63
25,Tamoor Sajjad,8,220,16,10,6,191,1,0,0,51
26,Nouman Sarwar,8,132,11,3,4,119,0,0,2,47
27,Kamran Khan (2),13,210,18,13,13,249,1,0,0,68
28,Mohammed Awais,6,46,3,0,5,47,0,0,1,13
29,Zaheer Ibrahim,8,175,18,7,7,183,2,0,0,63
30,Usman Waheed,6,49,4,1,5,48,0,0,1,28
31,Mohammed Irfan,8,372,30,27,6,233,4,1,0,129
32,Aamir Javed,4,176,15,11,3,140,2,0,0,55
33,Mohammad Amin,4,57,4,1,4,87,0,0,1,26
34,Ali Zaheer,5,45,3,1,4,70,0,0,0,17
35,Adnan Idrees,4,95,17,2,4,55,1,0,0,56
36,Mohammed Ghulam,5,135,8,8,4,187,1,0,0,59
37,Imran Ali,1,12,1,0,1,35,0,0,0,12
38,Haroon Shahid,3,26,2,0,1,46,0,0,0,24
39,Abdullah Ghulam,1,1,0,0,1,1,0,0,0,1
40,Fiaz Ahmad,1,5,1,0,0,18,0,0,0,5
41,AM Rahane,268,9908,1058,136,235,12690,76,18,20,227
42,RA Tripathi,32,741,72,27,26,529,3,0,1,93
43,SPD Smith,270,12686,1259,143,216,16820,85,33,7,293
44,MS Dhoni,533,18042,1449,471,353,20729,115,18,13,224
45,BA Stokes,161,5597,557,155,137,6761,39,12,11,284
46,MK Tiwary,96,1997,180,43,71,1846,8,1,8,104
47,DT Christian,133,2340,144,107,95,1813,9,0,4,75
48,Washington Sundar,15,101,6,7,6,62,0,0,2,35
49,PA Patel,166,3697,461,58,146,3402,19,1,14,109
50,JC Buttler,231,7091,646,249,182,6427,53,7,17,129
51,N Rana,39,1035,80,58,36,754,7,0,1,85
52,RG Sharma,428,14215,1277,439,352,14721,103,24,27,303
53,KV Sharma,35,325,18,14,20,292,0,0,1,39
54,KA Pollard,313,6690,438,376,249,5471,29,3,17,119
55,HH Pandya,90,1682,116,93,60,1186,4,0,5,91
56,Harbhajan Singh,206,2867,266,94,144,3421,9,2,25,184
57,JW Wells,56,1248,104,19,39,1033,5,0,1,72
58,PA Jaques,18,701,71,5,17,1092,6,1,3,139
59,TR Birt,31,678,58,32,28,473,3,0,0,65
60,OA Shah,106,2847,225,73,80,3122,18,1,7,107
61,TIF Triffitt,18,173,12,8,12,129,0,0,2,25
62,MJ Johnston,6,39,0,2,2,28,0,0,0,13
63,AC Blizzard,32,692,72,17,26,523,3,0,1,80
64,M Klinger,88,2501,248,51,79,2047,16,2,6,105
65,AJ Crosthwaite,6,60,5,2,5,55,0,0,0,18
66,CJ Ferguson,85,1882,157,26,69,1803,7,1,6,113
67,CJ Borgas,11,145,10,2,8,130,0,0,0,31
68,TLW Cooper,82,1738,157,48,66,1505,8,0,6,72
69,J Botha,140,1824,157,30,93,1799,1,0,7,67
70,KW Richardson,37,306,18,12,17,248,0,0,4,45
71,AW O'Brien,11,68,3,2,5,63,0,0,1,14
72,AC Thomas,11,43,2,1,5,49,0,0,1,12
73,BB McCullum,465,16232,1686,544,411,17043,111,23,27,310
74,ML Hayden,97,4157,474,98,82,4538,32,7,2,181
75,JR Hopes,110,2055,203,18,85,1963,7,0,3,71
76,CA Lynn,103,3234,262,189,87,2177,25,1,8,101
77,AW Robinson,5,71,8,3,4,56,0,0,0,25
78,PJ Forrest,38,846,70,14,32,1017,7,1,3,104
79,CD Hartley,9,80,6,0,2,77,0,0,0,23
80,ND Buchanan,4,11,0,1,3,13,0,0,1,8
81,BJ Haddin,231,7318,736,163,189,9808,49,11,10,169
82,MJ Lumb,94,2199,243,73,88,1712,11,1,4,106
83,NJ Maddinson,72,1536,146,63,67,1190,8,0,4,85
84,MC Henriques,133,2799,222,74,99,2390,15,1,6,149
85,AJ Finch,256,8208,828,268,231,7127,65,9,18,156
86,BJ Hodge,135,3510,296,115,95,2944,19,1,7,123
87,Shahid Afridi,283,5198,418,248,245,3611,18,2,22,124
88,GJ Maxwell,232,5982,538,269,199,4277,37,3,21,145
89,NJ Reardon,36,721,45,32,30,565,1,0,1,52
90,Abdul Razzaq,84,1497,100,60,57,1634,4,1,3,109
91,AB McDonald,24,449,30,14,18,499,2,0,2,81
92,GA Manou,5,52,4,0,0,71,0,0,0,21
93,TD Cruickshank,3,17,1,1,3,27,0,0,1,15
94,UT Khawaja,89,3876,417,46,75,5228,28,7,1,200
95,DLR Smith,14,72,7,0,13,98,0,0,3,21
96,BR Dunk,72,1667,149,53,68,1253,10,0,6,96
97,JS Floros,20,204,17,6,13,184,0,0,2,42
98,LR Butterworth,2,2,0,0,1,2,0,0,0,1
99,SA Abbott,43,373,23,15,34,324,0,0,3,39
100,RJ Quiney,41,860,81,34,36,670,5,0,5,97
101,MS Wade,178,4661,379,95,149,5719,29,4,7,136
102,GJ Bailey,211,5978,474,143,168,5985,43,3,9,156
103,DJ Hussey,193,4507,314,137,155,4089,21,0,14,88
104,CL White,230,5655,414,180,174,5556,35,2,12,105
105,AC Voges,107,3641,350,30,69,4647,20,6,0,269
106,LJ Wright,153,3261,327,104,134,2666,15,2,17,117
107,JP Faulkner,150,2226,151,72,84,1961,4,1,8,116
108,CJ McKay,49,327,22,6,30,460,0,0,6,30
109,DA Warner,370,17057,1840,394,332,16706,136,39,15,280
110,CA Philipson,2,4,0,0,2,13,0,0,0,2
111,DJ Harris,17,348,34,10,16,324,0,0,0,49
112,MJ Buchanan,1,11,1,0,1,17,0,0,0,11
113,AK Heal,2,1,0,0,2,3,0,0,1,1
114,DP Nannes,10,30,1,1,6,35,0,0,3,12
115,SW Tait,26,92,9,3,13,101,0,0,7,12
116,RT Ponting,214,9492,997,88,191,13067,77,24,11,298
117,RJG Lockyear,4,34,2,1,4,38,0,0,0,23
118,JJ Krejza,7,92,8,0,6,176,1,0,0,62
119,Naved-ul-Hasan,31,350,23,13,20,369,0,0,2,33
120,XJ Doherty,37,201,15,1,12,387,0,0,6,23
121,BW Hilfenhaus,54,528,59,11,31,830,1,0,14,57
122,B Laughlin,24,94,5,3,17,109,0,0,5,22
123,HH Gibbs,143,4247,461,110,132,4230,34,6,16,175
124,MJ North,42,1636,180,15,36,2827,11,6,1,131
125,SM Katich,85,4304,481,25,73,7468,34,15,5,194
126,MEK Hussey,312,12474,1109,192,245,16946,99,18,6,211
127,PD Collingwood,193,6311,526,107,160,9083,45,11,10,170
128,MR Marsh,120,3098,254,99,90,3573,16,2,8,134
129,L Ronchi,124,2721,292,96,105,2248,15,3,14,170
130,GB Hogg,42,486,32,8,25,601,1,0,4,80
131,NJ Rimmington,18,125,5,4,10,121,0,0,2,26
132,MA Beer,12,31,1,0,5,57,0,0,1,7
133,MG Neser,33,340,24,11,20,257,0,0,2,40
134,RJ Harris,59,799,77,13,35,1105,3,0,4,95
135,PM Nevill,49,800,79,5,32,1432,4,0,2,83
136,DJ Bravo,327,6646,504,215,249,7262,26,3,21,126
137,DJ Thornely,12,129,5,7,8,112,0,0,1,30
138,B Lee,114,1283,112,36,67,1712,4,0,22,67
139,JR Hazlewood,34,294,43,1,17,641,0,0,5,39
140,MA Starc,90,1572,150,40,57,2046,12,1,6,134
141,SCG MacGill,2,8,1,0,1,16,0,0,0,6
142,SE Marsh,195,7418,750,155,173,8768,61,8,9,192
143,BJ Rohrer,60,1121,89,34,40,820,2,0,4,64
144,CP Simpson,1,8,1,0,0,5,0,0,0,8
145,RE van der Merwe,71,1241,94,47,47,1091,6,1,4,137
146,SJ Coyte,24,287,30,3,15,329,1,0,2,51
147,FH Edwards,47,318,34,1,19,826,0,0,9,33
148,IA Moran,2,21,2,1,2,15,0,0,0,20
149,MG Hogan,7,41,2,2,4,35,0,0,0,13
150,NL McCullum,105,1418,89,43,78,1527,3,0,7,65
151,SNJ O'Keefe,38,395,41,6,28,658,0,0,3,48
152,BG Drew,2,15,1,0,2,23,0,0,0,10
153,DR Salpietro,2,13,0,0,2,25,0,0,0,12
154,DL Vettori,155,3613,365,25,108,4839,16,9,9,163
155,SM Harwood,4,12,0,0,1,22,0,0,1,6
156,TJ Armstrong,2,15,1,0,2,27,0,0,0,11
