,Bowler,Matches,Runs,4,6,Wickets,Overs,balls
0,S Badree,66,1514,144,40,80,249.4,1498.0
1,TS Mills,44,1270,123,50,57,173.4,1042.0
2,S Aravind,39,1051,109,40,49,132.3,795.0
3,STR Binny,84,1474,164,26,54,265.4,1594.0
4,YS Chahal,103,3020,185,147,137,444.3,2667.0
5,P Negi,43,938,58,47,40,122.4,736.0
6,NM Coulter-Nile,98,3119,353,83,135,481.1,2887.0
7,UT Yadav,220,9820,1225,164,348,1942.0,11652.0
8,CR Woakes,130,6067,731,95,229,1319.0,7914.0
9,C de Grandhomme,51,1326,123,25,42,336.1,2017.0
10,Imran Ali,1,46,6,0,1,2.0,12.0
11,Fiaz Ahmad,2,83,9,2,1,9.3,57.0
12,Abdullah Ghulam,1,57,5,4,0,1.2,8.0
13,Haroon Shahid,4,107,10,3,6,12.0,72.0
14,Mohammad Amin,2,34,4,1,0,3.2,20.0
15,Ali Zaheer,5,55,4,1,2,17.0,102.0
16,Adnan Idrees,2,52,5,3,1,3.2,20.0
17,Mohammed Awais,9,223,22,10,6,36.3,219.0
18,Nouman Sarwar,7,181,14,9,8,18.2,110.0
19,Mohammed Nadeem,13,373,29,10,16,74.2,446.0
20,Iqbal Hussain,13,466,42,14,32,78.5,473.0
21,Tamoor Sajjad,7,182,11,9,6,21.1,127.0
22,Iman-ul-Haq,2,60,8,1,4,5.4,34.0
23,MG Johnson,318,16595,2016,152,686,4263.4,25582.0
24,MJ McClenaghan,144,5160,558,147,217,794.0,4764.0
25,KV Sharma,65,1823,115,95,64,255.3,1533.0
26,JJ Bumrah,127,3803,377,89,187,663.0,3978.0
27,Harbhajan Singh,333,14549,1104,267,502,3719.2,22316.0
28,Washington Sundar,27,570,39,28,19,80.0,480.0
29,SN Thakur,34,987,104,38,39,117.3,705.0
30,JD Unadkat,80,2477,224,101,92,333.2,2000.0
31,BA Stokes,151,6579,807,81,192,1477.3,8865.0
32,DT Christian,145,3488,284,112,137,497.3,2985.0
33,Imran Tahir,205,8438,624,229,370,1800.5,10805.0
34,AC Thomas,35,858,84,20,37,124.5,749.0
35,J Botha,205,6057,358,158,197,1192.3,7155.0
36,AW O'Brien,22,554,23,24,22,76.2,458.0
37,KW Richardson,94,2919,277,97,129,420.2,2522.0
38,BE McGain,4,262,23,17,2,24.4,148.0
39,XJ Doherty,100,3803,270,100,107,760.4,4564.0
40,JJ Krejza,18,1102,94,17,31,222.1,1333.0
41,RJG Lockyear,4,55,3,4,1,4.3,27.0
42,MJ Johnston,6,114,8,7,3,13.3,81.0
43,B Laughlin,88,2523,211,85,121,334.4,2008.0
44,Naved-ul-Hasan,46,1830,223,25,76,327.5,1967.0
45,B Lee,212,8260,964,114,342,1892.3,11355.0
46,MA Starc,178,8829,1120,75,424,2202.3,13215.0
47,JR Hazlewood,91,5528,645,60,238,1647.0,9882.0
48,DJ Bravo,366,11874,1015,286,503,2136.4,12820.0
49,SCG MacGill,9,472,43,16,12,100.4,604.0
50,SPD Smith,97,2383,180,52,72,457.4,2746.0
51,NM Hauritz,86,4339,332,90,129,1141.4,6850.0
52,AC McDermott,14,378,30,16,21,45.1,271.0
53,JR Hopes,133,3745,306,78,121,703.2,4220.0
54,ND Buchanan,5,124,13,5,4,11.1,67.0
55,CA Lynn,3,52,0,2,3,5.3,33.0
56,LA Doran,13,241,15,9,8,29.4,178.0
57,CH Gayle,176,4212,229,73,127,962.5,5777.0
58,SJ Coyte,56,1369,143,11,71,308.4,1852.0
59,FH Edwards,91,4548,565,39,155,1144.0,6864.0
60,SA Abbott,73,1977,174,77,91,241.0,1446.0
61,LR Butterworth,3,78,3,4,4,8.0,48.0
62,DP Nannes,69,1762,199,43,99,266.0,1596.0
63,SW Tait,115,3505,403,68,172,645.5,3875.0
64,SM Harwood,11,343,34,9,15,45.5,275.0
65,GJ Maxwell,182,3916,257,119,106,650.1,3901.0
66,Abdul Razzaq,84,2249,251,36,80,431.4,2590.0
67,Shahid Afridi,313,10143,697,160,369,2068.5,12413.0
68,AB McDonald,23,681,68,19,28,166.2,998.0
69,DE Bollinger,126,4598,544,77,205,1014.0,6084.0
70,JP Faulkner,203,6575,578,181,289,1025.3,6153.0
71,JW Dernbach,65,2476,277,48,86,367.2,2204.0
72,CJ McKay,114,3829,374,82,176,724.3,4347.0
73,LJ Wright,80,1670,138,35,43,269.3,1617.0
74,DJ Hussey,101,1721,100,49,61,275.5,1655.0
75,SK Warne,65,1687,100,70,69,241.5,1451.0
76,AK Heal,3,86,2,5,3,8.4,52.0
77,NM Lyon,116,10334,906,212,333,3087.2,18524.0
78,MA Beer,54,1386,108,29,48,254.1,1525.0
79,NJ Rimmington,42,1046,106,28,47,134.4,808.0
80,MR Marsh,116,3644,359,80,118,748.5,4493.0
81,BM Edmondson,9,304,30,10,19,33.0,198.0
82,GB Hogg,142,4258,260,114,169,809.1,4855.0
83,PD Collingwood,148,3649,264,53,112,780.4,4684.0
84,BW Hilfenhaus,107,5222,624,70,202,1447.5,8687.0
85,RJ Harris,91,4649,588,44,220,1304.3,7827.0
86,MG Neser,50,1405,139,49,52,172.1,1033.0
87,DJ Thornely,10,140,14,3,7,18.4,112.0
88,MC Henriques,109,2458,243,60,77,368.2,2210.0
89,MJ North,20,691,54,8,17,223.2,1340.0
90,CJ Borgas,1,20,0,3,0,0.1,1.0
91,CP Simpson,1,23,3,0,1,0.5,5.0
92,RE van der Merwe,98,2698,156,84,115,513.4,3082.0
93,MG Hogan,20,475,50,10,23,63.1,379.0
94,JM Bird,53,2062,255,27,78,450.1,2701.0
95,BG Drew,2,61,7,1,3,5.0,30.0
96,DR Salpietro,2,65,3,3,1,4.4,28.0
97,SNJ O'Keefe,61,2037,147,48,84,504.0,3024.0
98,NL McCullum,145,4255,280,116,137,795.5,4775.0
99,DL Vettori,231,9961,704,195,363,2967.3,17805.0
100,ND Bills,1,44,5,3,2,0.4,4.0
101,MR Day,1,23,1,1,0,0.4,4.0
102,CR Swan,1,16,2,0,1,0.4,4.0
103,JEC Franklin,123,3252,356,40,96,662.2,3974.0
104,SP Narine,254,7673,608,201,350,1591.4,9550.0
105,PP Chawla,188,5385,415,200,198,827.3,4965.0
106,Kuldeep Yadav,52,1739,109,68,63,281.2,1688.0
107,RA Tripathi,1,12,2,0,0,0.1,1.0
108,Mohammad Amir,132,6226,733,53,248,1656.1,9937.0
109,Mohammad Abbas,4,389,51,1,24,139.3,837.0
110,Wahab Riaz,170,7710,874,96,295,1732.0,10392.0
111,Yasir Shah,70,5925,570,84,200,1606.1,9637.0
112,ST Gabriel,51,3201,389,26,105,899.3,5397.0
113,AS Joseph,22,1229,130,23,42,268.2,1610.0
114,JO Holder,125,5493,568,99,175,1383.5,8303.0
115,D Bishoo,53,4230,327,61,127,1205.1,7231.0
116,RL Chase,23,1439,98,27,33,412.1,2473.0
117,KC Brathwaite,24,803,43,10,14,214.5,1289.0
118,NB Singh,2,14,2,0,1,2.3,15.0
119,Basil Thampi,19,636,58,30,20,65.3,393.0
120,AJ Tye,94,2699,207,99,150,356.5,2141.0
121,RA Jadeja,357,13595,1014,364,491,3424.0,20544.0
122,Ankit Soni,6,141,8,7,4,16.1,97.0
123,A Choudhary,5,137,13,6,5,16.2,98.0
124,TM Head,51,983,74,25,30,158.5,953.0
125,Z Khan,249,11433,1412,118,438,2690.4,16144.0
126,K Rabada,109,5218,646,82,238,1232.0,7392.0
127,CJ Anderson,99,3059,319,75,107,590.5,3545.0
128,CH Morris,117,3929,449,88,157,647.4,3886.0
129,PJ Cummins,103,4189,489,79,189,905.3,5433.0
130,A Mishra,210,7930,586,245,325,1737.0,10422.0
131,I Sharma,260,14061,1814,162,437,3593.0,21558.0
132,Anureet Singh,22,601,65,22,21,70.0,420.0
133,MM Sharma,117,3519,401,96,137,503.5,3023.0
134,AR Patel,114,3259,235,111,119,555.2,3332.0
135,KC Cariappa,11,340,23,19,8,34.0,204.0
136,B Kumar,229,7678,900,144,301,1595.0,9570.0
137,A Nehra,162,5174,607,116,234,798.2,4790.0
138,S Kaul,44,1339,125,51,50,160.2,962.0
139,DJ Hooda,20,301,22,12,7,38.0,228.0
140,Rashid Khan,144,4124,293,117,244,832.1,4993.0
141,DJ Harris,4,50,6,1,0,4.2,26.0
142,JM Muirhead,13,277,11,14,12,35.2,212.0
143,JM Herrick,2,58,7,2,0,4.3,27.0
144,BG McDonald,1,28,1,1,1,0.3,3.0
145,JK Lalor,36,945,87,30,47,128.3,771.0
146,IA Moran,3,65,6,2,2,3.5,23.0
147,AF Milne,59,1980,225,41,68,363.1,2179.0
148,DL Chahar,38,902,111,23,45,135.4,814.0
149,LH Ferguson,29,1131,121,30,44,200.0,1200.0
150,SL Malinga,397,13293,1393,185,648,2529.3,15177.0
151,KH Pandya,60,1266,84,42,46,181.4,1090.0
152,IK Pathan,194,6331,727,125,237,1091.2,6548.0
153,SK Raina,205,3794,231,107,97,726.0,4356.0
154,Sandeep Sharma,81,2274,235,84,104,306.2,1838.0
155,T Natarajan,6,109,9,5,2,12.0,72.0
156,VR Aaron,63,2562,331,56,75,432.4,2596.0
157,Mohammed Shami,138,6974,854,137,284,1559.0,9354.0
158,S Nadeem,63,1583,103,68,51,231.2,1388.0
159,YK Pathan,149,3127,213,105,97,501.0,3006.0
160,Mohammed Siraj,26,809,72,43,30,94.0,564.0
161,Bipul Sharma,28,557,28,31,22,71.5,431.0
162,HH Pandya,104,2717,256,86,90,413.5,2483.0
163,SR Watson,366,10886,1156,211,414,2330.3,13983.0
164,PJ Sangwan,39,1119,118,43,41,138.1,829.0
165,DR Smith,108,2447,238,56,78,422.4,2536.0
166,J Yadav,17,609,58,12,17,143.3,861.0
167,Yuvraj Singh,225,4850,308,112,162,912.0,5472.0
168,DJ Willey,84,2645,272,72,100,417.2,2504.0
169,MA Wood,46,2485,309,21,88,572.4,3436.0
170,JT Ball,27,1207,149,14,32,236.1,1417.0
171,LE Plunkett,107,4407,457,75,172,864.5,5189.0
172,AU Rashid,117,5786,395,150,181,1115.5,6695.0
173,JE Root,106,2059,170,41,44,473.4,2842.0
174,PKD Chase,16,901,106,26,23,137.2,824.0
175,TJ Murtagh,61,2216,247,38,88,517.5,3107.0
176,GH Dockrell,114,3411,238,94,126,706.1,4237.0
177,SR Thompson,39,1024,110,17,42,215.3,1293.0
178,Shadab Khan,48,1736,122,56,65,302.0,1812.0
179,Azhar Ali,39,839,54,10,12,181.4,1090.0
180,MN Samuels,153,5046,366,91,139,1154.5,6929.0
181,T Jamtsho,5,181,19,6,9,25.2,152.0
182,Tenzin Wangchuk jnr,1,29,4,1,0,1.2,8.0
183,DS Gurung,1,20,1,1,0,1.4,10.0
184,S Pradhan,7,135,16,5,5,19.1,115.0
185,Kumar Subba,1,14,1,1,2,1.2,8.0
186,T Singye,1,23,3,1,1,0.2,2.0
187,Bilal Mansoor,1,12,1,0,3,1.2,8.0
188,Azeem ul Haq,3,54,5,2,1,11.2,68.0
189,Tahir Dar,1,16,1,0,3,1.4,10.0
190,Babar Ali,1,22,1,1,2,2.1,13.0
191,Junaid Aziz,1,8,0,0,1,0.5,5.0
192,GSPR Arachchige,1,7,0,0,1,0.5,5.0
193,AS Rajpoot,23,586,71,19,22,72.0,432.0
194,DS Kulkarni,103,2809,324,79,114,411.3,2469.0
