,Batsmen,clus,_c0,Matches,Runs,4,6,Wickets,Balls,50,100,0,High_Score,ave,sr,custom
0,SP Narine,2,0,143,1542,164,74,104,1235,2,0,15,75,14.826923076923077,124.8582995951417,8.68421052631579
1,G Gambhir,2,1,359,13394,1524,93,312,16619,106,20,23,276,42.92948717948718,80.59450027077442,5.962091581924303
2,RV Uthappa,2,2,221,5554,567,177,193,4550,28,0,12,87,28.77720207253886,122.06593406593407,4.225714285714286
3,MK Pandey,2,3,138,3262,280,84,109,2732,17,2,15,114,29.926605504587155,119.39970717423134,5.758418740849195
4,YK Pathan,2,4,212,4268,336,221,148,3092,19,2,20,123,28.83783783783784,138.03363518758084,8.433376455368693
5,SA Yadav,2,5,70,1501,154,46,53,1114,7,0,4,72,28.32075471698113,134.73967684021545,4.524236983842011
6,C de Grandhomme,2,6,58,1240,86,63,43,1064,7,0,5,83,28.837209302325583,116.54135338345866,4.524436090225564
7,CR Woakes,1,7,100,1859,164,21,60,2759,9,0,8,95,30.983333333333334,67.3794853207684,3.4432765494744473
8,NM Coulter-Nile,2,8,55,515,29,31,36,417,1,0,7,92,14.305555555555555,123.50119904076739,12.134292565947241
9,Kuldeep Yadav,0,9,12,54,5,0,5,77,0,0,3,16,10.8,70.12987012987013,2.4935064935064934
10,UT Yadav,0,10,79,453,46,17,38,711,0,0,17,39,11.921052631578947,63.71308016877637,4.333333333333333
11,CH Gayle,2,11,380,13659,1312,730,337,13021,101,21,27,333,40.531157270029674,104.89977728285078,9.718147607710621
12,V Kohli,1,12,470,21206,2087,339,387,23983,167,51,17,256,54.79586563307493,88.42096485010215,5.016886961597798
13,Mandeep Singh,2,13,85,1579,167,32,68,1239,6,0,9,77,23.220588235294116,127.44148506860371,5.2824858757062145
14,AB de Villiers,1,14,482,20984,1929,506,372,23959,170,50,24,303,56.40860215053763,87.58295421344798,6.095663425017738
15,KM Jadhav,2,15,96,1830,170,52,61,1467,8,2,7,120,30.0,124.74437627811861,7.852760736196319
16,STR Binny,2,16,84,1339,114,42,57,1257,2,0,8,79,23.49122807017544,106.52346857597455,5.279236276849642
17,S Badree,0,17,16,49,2,0,8,72,0,0,2,14,6.125,68.05555555555556,3.111111111111111
18,P Negi,2,18,35,365,27,16,23,278,0,0,3,36,15.869565217391305,131.29496402877697,4.532374100719425
19,TS Mills,0,19,10,23,1,2,6,24,0,0,3,7,3.8333333333333335,95.83333333333334,2.9166666666666665
20,S Aravind,0,20,10,59,7,0,3,56,0,0,2,14,19.666666666666668,105.35714285714286,2.5
21,YS Chahal,3,21,13,26,1,0,5,49,0,0,2,5,5.2,53.06122448979592,1.3265306122448979
22,Iman-ul-Haq,1,22,2,93,6,3,2,135,1,0,0,62,46.5,68.88888888888889,0.9185185185185185
23,Qalandar Khan,0,23,6,152,17,5,6,225,1,0,1,72,25.333333333333332,67.55555555555556,1.92
24,Mohammad Rizlan,1,24,13,321,24,11,9,489,1,0,0,63,35.666666666666664,65.6441717791411,1.6748466257668713
25,Tamoor Sajjad,1,25,8,220,16,10,6,191,1,0,0,51,36.666666666666664,115.18324607329843,2.136125654450262
26,Nouman Sarwar,1,26,8,132,11,3,4,119,0,0,2,47,33.0,110.92436974789916,3.1596638655462184
27,Kamran Khan (2),0,27,13,210,18,13,13,249,1,0,0,68,16.153846153846153,84.33734939759037,3.5502008032128516
28,Mohammed Awais,0,28,6,46,3,0,5,47,0,0,1,13,9.2,97.87234042553192,1.6595744680851063
29,Zaheer Ibrahim,0,29,8,175,18,7,7,183,2,0,0,63,25.0,95.62841530054644,2.7540983606557377
30,Usman Waheed,0,30,6,49,4,1,5,48,0,0,1,28,9.8,102.08333333333333,3.5
31,Mohammed Irfan,1,31,8,372,30,27,6,233,4,1,0,129,62.0,159.65665236051504,4.429184549356223
32,Aamir Javed,1,32,4,176,15,11,3,140,2,0,0,55,58.666666666666664,125.71428571428571,1.5714285714285714
33,Mohammad Amin,0,33,4,57,4,1,4,87,0,0,1,26,14.25,65.51724137931035,1.1954022988505748
34,Ali Zaheer,0,34,5,45,3,1,4,70,0,0,0,17,11.25,64.28571428571429,1.2142857142857142
35,Adnan Idrees,2,35,4,95,17,2,4,55,1,0,0,56,23.75,172.72727272727272,4.072727272727272
36,Mohammed Ghulam,1,36,5,135,8,8,4,187,1,0,0,59,33.75,72.19251336898395,1.5775401069518717
37,Imran Ali,3,37,1,12,1,0,1,35,0,0,0,12,12.0,34.285714285714285,0.34285714285714286
38,Haroon Shahid,0,38,3,26,2,0,1,46,0,0,0,24,26.0,56.52173913043478,1.565217391304348
39,Abdullah Ghulam,0,39,1,1,0,0,1,1,0,0,0,1,1.0,100.0,1.0
40,Fiaz Ahmad,3,40,1,5,1,0,0,18,0,0,0,5,0.0,27.77777777777778,0.2777777777777778
41,AM Rahane,1,41,268,9908,1058,136,235,12690,76,18,20,227,42.161702127659574,78.07722616233255,4.794011032308904
42,RA Tripathi,2,42,32,741,72,27,26,529,3,0,1,93,28.5,140.0756143667297,5.625708884688091
43,SPD Smith,1,43,270,12686,1259,143,216,16820,85,33,7,293,58.73148148148148,75.42211652794293,4.70332936979786
44,MS Dhoni,1,44,533,18042,1449,471,353,20729,115,18,13,224,51.110481586402265,87.03748371846206,5.7596603791789285
45,BA Stokes,2,45,161,5597,557,155,137,6761,39,12,11,284,40.85401459854015,82.783611891732,6.762904895725485
46,MK Tiwary,2,46,96,1997,180,43,71,1846,8,1,8,104,28.12676056338028,108.17984832069338,5.408450704225352
47,DT Christian,2,47,133,2340,144,107,95,1813,9,0,4,75,24.63157894736842,129.06784335355763,5.501930501930502
48,Washington Sundar,2,48,15,101,6,7,6,62,0,0,2,35,16.833333333333332,162.90322580645162,8.46774193548387
49,PA Patel,2,49,166,3697,461,58,146,3402,19,1,14,109,25.32191780821918,108.67136978248088,5.318636096413874
50,JC Buttler,2,50,231,7091,646,249,182,6427,53,7,17,129,38.96153846153846,110.33141434572894,4.636533374824957
51,N Rana,2,51,39,1035,80,58,36,754,7,0,1,85,28.75,137.26790450928382,4.396551724137931
52,RG Sharma,2,52,428,14215,1277,439,352,14721,103,24,27,303,40.38352272727273,96.56273350995177,8.809455879356022
53,KV Sharma,2,53,35,325,18,14,20,292,0,0,1,39,16.25,111.30136986301369,4.674657534246576
54,KA Pollard,2,54,313,6690,438,376,249,5471,29,3,17,119,26.867469879518072,122.2811186254798,6.808078961798574
55,HH Pandya,2,55,90,1682,116,93,60,1186,4,0,5,91,28.033333333333335,141.8212478920742,6.905564924114671
