,Bowler,clus,_c0,Matches,Runs,4,6,Wickets,Overs,balls,ave,econ,sr
0,S Badree,2,0,66,1514,144,40,80,249.4,1498.0,18.925,6.070569366479551,18.725
1,TS Mills,2,1,44,1270,123,50,57,173.4,1042.0,22.280701754385966,7.324106113033449,18.280701754385966
2,S Aravind,2,2,39,1051,109,40,49,132.3,795.0,21.448979591836736,7.944066515495086,16.224489795918366
3,STR Binny,0,3,84,1474,164,26,54,265.4,1594.0,27.296296296296298,5.553880934438584,29.51851851851852
4,YS Chahal,2,4,103,3020,185,147,137,444.3,2667.0,22.043795620437955,6.79720909295521,19.467153284671532
5,P Negi,2,5,43,938,58,47,40,122.4,736.0,23.45,7.663398692810457,18.4
6,NM Coulter-Nile,0,6,98,3119,353,83,135,481.1,2887.0,23.103703703703705,6.483059654957389,21.385185185185186
7,UT Yadav,0,7,220,9820,1225,164,348,1942.0,11652.0,28.2183908045977,5.05664263645726,33.48275862068966
8,CR Woakes,0,8,130,6067,731,95,229,1319.0,7914.0,26.49344978165939,4.599696739954511,34.5589519650655
9,C de Grandhomme,0,9,51,1326,123,25,42,336.1,2017.0,31.571428571428573,3.9452543885748286,48.023809523809526
10,Imran Ali,0,10,1,46,6,0,1,2.0,12.0,46.0,23.0,12.0
11,Fiaz Ahmad,3,11,2,83,9,2,1,9.3,57.0,83.0,8.924731182795698,57.0
12,Abdullah Ghulam,2,12,1,57,5,4,0,1.2,8.0,0.0,47.5,0.0
13,Haroon Shahid,2,13,4,107,10,3,6,12.0,72.0,17.833333333333332,8.916666666666666,12.0
14,Mohammad Amin,2,14,2,34,4,1,0,3.2,20.0,0.0,10.625,0.0
15,Ali Zaheer,0,15,5,55,4,1,2,17.0,102.0,27.5,3.235294117647059,51.0
16,Adnan Idrees,0,16,2,52,5,3,1,3.2,20.0,52.0,16.25,20.0
17,Mohammed Awais,0,17,9,223,22,10,6,36.3,219.0,37.166666666666664,6.143250688705234,36.5
18,Nouman Sarwar,2,18,7,181,14,9,8,18.2,110.0,22.625,9.945054945054945,13.75
19,Mohammed Nadeem,0,19,13,373,29,10,16,74.2,446.0,23.3125,5.026954177897574,27.875
20,Iqbal Hussain,2,20,13,466,42,14,32,78.5,473.0,14.5625,5.936305732484076,14.78125
21,Tamoor Sajjad,0,21,7,182,11,9,6,21.1,127.0,30.333333333333332,8.625592417061611,21.166666666666668
22,Iman-ul-Haq,2,22,2,60,8,1,4,5.4,34.0,15.0,11.11111111111111,8.5
23,MG Johnson,0,23,318,16595,2016,152,686,4263.4,25582.0,24.190962099125365,3.892433269221748,37.291545189504376
24,MJ McClenaghan,0,24,144,5160,558,147,217,794.0,4764.0,23.77880184331797,6.498740554156171,21.953917050691246
25,KV Sharma,0,25,65,1823,115,95,64,255.3,1533.0,28.484375,7.140618879749314,23.953125
26,JJ Bumrah,2,26,127,3803,377,89,187,663.0,3978.0,20.336898395721924,5.73604826546003,21.272727272727273
27,Harbhajan Singh,0,27,333,14549,1104,267,502,3719.2,22316.0,28.98207171314741,3.911862766186277,44.45418326693227
28,Washington Sundar,0,28,27,570,39,28,19,80.0,480.0,30.0,7.125,25.263157894736842
29,SN Thakur,2,29,34,987,104,38,39,117.3,705.0,25.307692307692307,8.414322250639387,18.076923076923077
30,JD Unadkat,0,30,80,2477,224,101,92,333.2,2000.0,26.92391304347826,7.433973589435775,21.73913043478261
31,BA Stokes,0,31,151,6579,807,81,192,1477.3,8865.0,34.265625,4.453394706559264,46.171875
32,DT Christian,0,32,145,3488,284,112,137,497.3,2985.0,25.45985401459854,7.013874924592801,21.78832116788321
33,Imran Tahir,0,33,205,8438,624,229,370,1800.5,10805.0,22.805405405405406,4.686475978894752,29.2027027027027
34,AC Thomas,2,34,35,858,84,20,37,124.5,749.0,23.18918918918919,6.891566265060241,20.243243243243242
35,J Botha,0,35,205,6057,358,158,197,1192.3,7155.0,30.746192893401016,5.080097290950264,36.31979695431472
36,AW O'Brien,0,36,22,554,23,24,22,76.2,458.0,25.181818181818183,7.270341207349081,20.818181818181817
37,KW Richardson,2,37,94,2919,277,97,129,420.2,2522.0,22.627906976744185,6.946692051404093,19.550387596899224
38,BE McGain,3,38,4,262,23,17,2,24.4,148.0,131.0,10.737704918032788,74.0
39,XJ Doherty,0,39,100,3803,270,100,107,760.4,4564.0,35.54205607476636,5.001315097317201,42.654205607476634
40,JJ Krejza,0,40,18,1102,94,17,31,222.1,1333.0,35.54838709677419,4.961728950923008,43.0
41,RJG Lockyear,0,41,4,55,3,4,1,4.3,27.0,55.0,12.790697674418606,27.0
42,MJ Johnston,0,42,6,114,8,7,3,13.3,81.0,38.0,8.571428571428571,27.0
43,B Laughlin,2,43,88,2523,211,85,121,334.4,2008.0,20.85123966942149,7.544856459330144,16.59504132231405
44,Naved-ul-Hasan,0,44,46,1830,223,25,76,327.5,1967.0,24.07894736842105,5.587786259541985,25.88157894736842
45,B Lee,0,45,212,8260,964,114,342,1892.3,11355.0,24.15204678362573,4.3650583945463195,33.20175438596491
46,MA Starc,0,46,178,8829,1120,75,424,2202.3,13215.0,20.82311320754717,4.008990600735594,31.16745283018868
47,JR Hazlewood,0,47,91,5528,645,60,238,1647.0,9882.0,23.22689075630252,3.3564055859137825,41.52100840336134
48,DJ Bravo,0,48,366,11874,1015,286,503,2136.4,12820.0,23.606361829025843,5.557947949822131,25.487077534791254
49,SCG MacGill,0,49,9,472,43,16,12,100.4,604.0,39.333333333333336,4.701195219123505,50.333333333333336
50,SPD Smith,0,50,97,2383,180,52,72,457.4,2746.0,33.09722222222222,5.209881941407958,38.138888888888886
51,NM Hauritz,0,51,86,4339,332,90,129,1141.4,6850.0,33.63565891472868,3.801471876642719,53.10077519379845
52,AC McDermott,2,52,14,378,30,16,21,45.1,271.0,18.0,8.381374722838137,12.904761904761905
53,JR Hopes,0,53,133,3745,306,78,121,703.2,4220.0,30.950413223140497,5.325654152445961,34.87603305785124
54,ND Buchanan,0,54,5,124,13,5,4,11.1,67.0,31.0,11.17117117117117,16.75
