Batsmen,Matches,Runs,Wickets,Balls,0,4,6,Strike Rate,Average,50,100,High Score
SP Narine,143,1542,104,1337,15,164,74,115.33283470456246,14.826923076923077,2,0,75
G Gambhir,359,13394,312,16974,23,1524,93,78.90891952397784,42.92948717948718,111,22,276
RV Uthappa,221,5554,193,4746,12,567,177,117.02486304256216,28.77720207253886,31,0,87
MK Pandey,138,3262,109,2839,15,280,84,114.89961253962663,29.926605504587155,18,2,114
YK Pathan,212,4268,148,3242,20,336,221,131.64713140037014,28.83783783783784,20,3,123
SA Yadav,70,1501,53,1168,4,154,46,128.51027397260273,28.32075471698113,7,0,72
C de Grandhomme,58,1240,43,1109,5,86,63,111.81244364292155,28.837209302325583,7,0,83
CR Woakes,100,1859,60,2830,8,164,21,65.68904593639576,30.983333333333334,9,0,95
NM Coulter-Nile,55,515,36,451,7,29,31,114.19068736141907,14.305555555555555,1,0,92
Kuldeep Yadav,12,54,5,81,3,5,0,66.66666666666667,10.8,0,0,16
UT Yadav,79,453,38,752,17,46,17,60.23936170212766,11.921052631578947,0,0,39
CH Gayle,380,13659,337,13387,27,1312,730,102.03182191678493,40.531157270029674,104,23,333
V Kohli,470,21206,387,24429,17,2087,339,86.80666421056941,54.79586563307493,170,55,256
Mandeep Singh,85,1579,68,1309,9,167,32,120.62643239113828,23.220588235294116,6,0,77
AB de Villiers,482,20984,372,24377,24,1929,506,86.08114206013866,56.40860215053763,174,50,303
KM Jadhav,96,1830,61,1526,7,170,52,119.92136304062909,30.0,9,2,120
STR Binny,84,1339,57,1316,8,114,42,101.74772036474164,23.49122807017544,2,0,79
S Badree,16,49,8,79,2,2,0,62.0253164556962,6.125,0,0,14
P Negi,35,365,23,301,3,27,16,121.2624584717608,15.869565217391305,0,0,36
TS Mills,10,23,6,29,3,1,2,79.3103448275862,3.8333333333333335,0,0,7
S Aravind,10,59,3,59,2,7,0,100.0,19.666666666666668,0,0,14
YS Chahal,13,26,5,54,2,1,0,48.148148148148145,5.2,0,0,5
Iman-ul-Haq,2,93,2,138,0,6,3,67.3913043478261,46.5,1,0,62
Qalandar Khan,6,152,6,231,1,17,5,65.80086580086581,25.333333333333332,1,0,72
Mohammad Rizlan,13,321,9,498,0,24,11,64.4578313253012,35.666666666666664,1,0,63
Tamoor Sajjad,8,220,6,198,0,16,10,111.11111111111111,36.666666666666664,1,0,51
Nouman Sarwar,8,132,4,121,2,11,3,109.0909090909091,33.0,0,0,47
Kamran Khan (2),13,210,13,262,0,18,13,80.1526717557252,16.153846153846153,1,0,68
Mohammed Awais,6,46,5,51,1,3,0,90.19607843137256,9.2,0,0,13
Zaheer Ibrahim,8,175,7,190,0,18,7,92.10526315789474,25.0,2,0,63
Usman Waheed,6,49,5,52,1,4,1,94.23076923076923,9.8,0,0,28
Mohammed Irfan,8,372,6,239,0,30,27,155.64853556485355,62.0,4,1,129
Aamir Javed,4,176,3,143,0,15,11,123.07692307692308,58.666666666666664,2,0,55
Mohammad Amin,4,57,4,91,1,4,1,62.637362637362635,14.25,0,0,26
Ali Zaheer,5,45,4,74,0,3,1,60.810810810810814,11.25,0,0,17
Adnan Idrees,4,95,4,59,0,17,2,161.01694915254237,23.75,1,0,56
Mohammed Ghulam,5,135,4,191,0,8,8,70.68062827225131,33.75,1,0,59
Imran Ali,1,12,1,36,0,1,0,33.333333333333336,12.0,0,0,12
Haroon Shahid,3,26,1,47,0,2,0,55.319148936170215,26.0,0,0,24
Abdullah Ghulam,1,1,1,2,0,0,0,50.0,1.0,0,0,1
Fiaz Ahmad,1,5,0,18,0,1,0,27.77777777777778,5.0,0,0,5
AM Rahane,268,9908,235,12959,20,1058,136,76.456516706536,42.161702127659574,78,18,227
RA Tripathi,32,741,26,555,1,72,27,133.51351351351352,28.5,4,0,93
SPD Smith,270,12686,216,17090,7,1259,143,74.2305441778818,58.73148148148148,86,34,293
MS Dhoni,533,18042,353,21155,13,1449,471,85.28480264712834,51.110481586402265,122,19,224
BA Stokes,161,5597,137,6933,11,557,155,80.72984278090293,40.85401459854015,40,12,284
MK Tiwary,96,1997,71,1918,8,180,43,104.11887382690303,28.12676056338028,9,1,104
DT Christian,133,2340,95,1912,4,144,107,122.38493723849372,24.63157894736842,9,0,75
Washington Sundar,15,101,6,68,2,6,7,148.52941176470588,16.833333333333332,0,0,35
PA Patel,166,3697,146,3550,14,461,58,104.14084507042253,25.32191780821918,19,1,109
JC Buttler,231,7091,182,6629,17,646,249,106.96937697993664,38.96153846153846,53,7,129
N Rana,39,1035,36,792,1,80,58,130.6818181818182,28.75,8,0,85
RG Sharma,428,14215,352,15095,27,1277,439,94.1702550513415,40.38352272727273,110,24,303
KV Sharma,35,325,20,313,1,18,14,103.83386581469648,16.25,0,0,39
KA Pollard,313,6690,249,5728,17,438,376,116.79469273743017,26.867469879518072,31,3,119
HH Pandya,90,1682,60,1248,5,116,93,134.77564102564102,28.033333333333335,5,0,91
Harbhajan Singh,206,2867,144,3576,25,266,94,80.17337807606263,19.90972222222222,9,2,184
JW Wells,56,1248,39,1072,1,104,19,116.41791044776119,32.0,5,0,72
PA Jaques,18,701,17,1113,3,71,5,62.98292902066487,41.23529411764706,6,1,139
TR Birt,31,678,28,501,0,58,32,135.32934131736528,24.214285714285715,3,0,65
OA Shah,106,2847,80,3206,7,225,73,88.80224578914535,35.5875,18,1,107
TIF Triffitt,18,173,12,141,2,12,8,122.69503546099291,14.416666666666666,0,0,25
MJ Johnston,6,39,2,30,0,0,2,130.0,19.5,0,0,13
AC Blizzard,32,692,26,549,1,72,17,126.04735883424408,26.615384615384617,3,0,80
M Klinger,88,2501,79,2125,6,248,51,117.69411764705882,31.658227848101266,16,2,105
AJ Crosthwaite,6,60,5,60,0,5,2,100.0,12.0,0,0,18
CJ Ferguson,85,1882,69,1869,6,157,26,100.69555912252541,27.27536231884058,8,1,113
CJ Borgas,11,145,8,138,0,10,2,105.07246376811594,18.125,0,0,31
TLW Cooper,82,1738,66,1571,6,157,48,110.63017186505411,26.333333333333332,8,0,72
J Botha,140,1824,93,1896,7,157,30,96.20253164556962,19.612903225806452,1,0,67
KW Richardson,37,306,17,262,4,18,12,116.79389312977099,18.0,0,0,45
AW O'Brien,11,68,5,69,1,3,2,98.55072463768116,13.6,0,0,14
AC Thomas,11,43,5,54,1,2,1,79.62962962962963,8.6,0,0,12
BB McCullum,465,16232,411,17520,27,1686,544,92.64840182648402,39.49391727493917,114,24,310
ML Hayden,97,4157,82,4630,2,474,98,89.78401727861771,50.69512195121951,32,7,181
JR Hopes,110,2055,85,2048,3,203,18,100.341796875,24.176470588235293,7,0,71
CA Lynn,103,3234,87,2264,8,262,189,142.84452296819788,37.172413793103445,27,1,101
AW Robinson,5,71,4,60,0,8,3,118.33333333333333,17.75,0,0,25
PJ Forrest,38,846,32,1047,3,70,14,80.80229226361031,26.4375,7,1,104
CD Hartley,9,80,2,79,0,6,0,101.26582278481013,40.0,0,0,23
ND Buchanan,4,11,3,16,1,0,1,68.75,3.6666666666666665,0,0,8
BJ Haddin,231,7318,189,10046,10,736,163,72.84491339836751,38.71957671957672,52,12,169
MJ Lumb,94,2199,88,1800,4,243,73,122.16666666666667,24.988636363636363,12,1,106
NJ Maddinson,72,1536,67,1260,4,146,63,121.9047619047619,22.925373134328357,8,0,85
MC Henriques,133,2799,99,2495,6,222,74,112.18436873747495,28.272727272727273,15,1,149
AJ Finch,256,8208,231,7351,18,828,268,111.65827778533533,35.532467532467535,69,10,156
BJ Hodge,135,3510,95,3046,7,296,115,115.23309258043335,36.94736842105263,20,1,123
Shahid Afridi,283,5198,245,3851,22,418,248,134.9779278109582,21.216326530612246,19,2,124
GJ Maxwell,232,5982,199,4484,21,538,269,133.40767172167708,30.060301507537687,39,3,145
NJ Reardon,36,721,30,596,1,45,32,120.97315436241611,24.033333333333335,1,0,52
Abdul Razzaq,84,1497,57,1696,3,100,60,88.26650943396227,26.263157894736842,4,1,109
AB McDonald,24,449,18,518,2,30,14,86.67953667953668,24.944444444444443,3,0,81
GA Manou,5,52,0,75,0,4,0,69.33333333333333,10.4,0,0,21
TD Cruickshank,3,17,3,30,1,1,1,56.666666666666664,5.666666666666667,0,0,15
UT Khawaja,89,3876,75,5324,1,417,46,72.80240420736288,51.68,29,7,200
DLR Smith,14,72,13,109,3,7,0,66.05504587155963,5.538461538461538,0,0,21
BR Dunk,72,1667,68,1320,6,149,53,126.28787878787878,24.514705882352942,10,0,96
JS Floros,20,204,13,197,2,17,6,103.55329949238579,15.692307692307692,0,0,42
LR Butterworth,2,2,1,3,0,0,0,66.66666666666667,2.0,0,0,1
SA Abbott,43,373,34,358,3,23,15,104.18994413407822,10.970588235294118,0,0,39
RJ Quiney,41,860,36,706,5,81,34,121.81303116147309,23.88888888888889,5,0,97
MS Wade,178,4661,149,5893,7,379,95,79.09384014932971,31.28187919463087,31,5,136
GJ Bailey,211,5978,168,6166,9,474,143,96.95102173207914,35.583333333333336,43,3,156
DJ Hussey,193,4507,155,4250,14,314,137,106.04705882352941,29.07741935483871,24,0,88
CL White,230,5655,174,5735,12,414,180,98.6050566695728,32.5,36,2,105
AC Voges,107,3641,69,4733,0,350,30,76.92795267272344,52.768115942028984,20,6,269
LJ Wright,153,3261,134,2800,17,327,104,116.46428571428571,24.33582089552239,16,2,117
JP Faulkner,150,2226,84,2047,8,151,72,108.74450415241817,26.5,5,1,116
CJ McKay,49,327,30,487,6,22,6,67.14579055441479,10.9,0,0,30
DA Warner,370,17057,332,17112,15,1840,394,99.6785881252922,51.376506024096386,140,42,280
CA Philipson,2,4,2,15,0,0,0,26.666666666666668,2.0,0,0,2
DJ Harris,17,348,16,340,0,34,10,102.3529411764706,21.75,0,0,49
MJ Buchanan,1,11,1,18,0,1,0,61.111111111111114,11.0,0,0,11
AK Heal,2,1,2,4,1,0,0,25.0,0.5,0,0,1
DP Nannes,10,30,6,38,3,1,1,78.94736842105263,5.0,0,0,12
SW Tait,26,92,13,110,7,9,3,83.63636363636364,7.076923076923077,0,0,12
RT Ponting,214,9492,191,13297,11,997,88,71.3845228246973,49.696335078534034,78,24,298
RJG Lockyear,4,34,4,42,0,2,1,80.95238095238095,8.5,0,0,23
JJ Krejza,7,92,6,183,0,8,0,50.27322404371585,15.333333333333334,1,0,62
Naved-ul-Hasan,31,350,20,388,2,23,13,90.20618556701031,17.5,0,0,33
XJ Doherty,37,201,12,397,6,15,1,50.62972292191436,16.75,0,0,23
BW Hilfenhaus,54,528,31,868,14,59,11,60.8294930875576,17.032258064516128,1,0,57
B Laughlin,24,94,17,122,5,5,3,77.04918032786885,5.529411764705882,0,0,22
HH Gibbs,143,4247,132,4363,16,461,110,97.34127893651157,32.17424242424242,35,6,175
MJ North,42,1636,36,2877,1,180,15,56.86478971150504,45.44444444444444,11,6,131
SM Katich,85,4304,73,7573,5,481,25,56.83348738940975,58.95890410958904,35,17,194
MEK Hussey,312,12474,245,17245,6,1109,192,72.33400985792983,50.91428571428571,100,19,211
