Bowler,Matches,Overs,Runs,4,6,Wickets,Economy,Average,Strike Rate
S Badree,66,249.4,1514,144,40,80,6.080321285140562,18.925,18.725
TS Mills,44,173.4,1270,123,50,57,7.341040462427745,22.280701754385966,18.280701754385966
S Aravind,39,132.3,1051,109,40,49,7.962121212121212,21.448979591836736,16.224489795918366
STR Binny,84,265.4,1474,164,26,54,5.562264150943396,27.296296296296298,29.51851851851852
YS Chahal,103,444.3,3020,185,147,137,6.801801801801802,22.043795620437955,19.467153284671532
P Negi,43,122.4,938,58,47,40,7.688524590163935,23.45,18.4
NM Coulter-Nile,98,481.1,3119,353,83,135,6.484407484407485,23.103703703703705,21.385185185185186
UT Yadav,220,1942.0,9820,1225,164,348,5.05664263645726,28.2183908045977,33.48275862068966
CR Woakes,130,1319.0,6067,731,95,229,4.599696739954511,26.49344978165939,34.5589519650655
C de Grandhomme,51,336.1,1326,123,25,42,3.9464285714285716,31.571428571428573,48.023809523809526
Imran Ali,1,2.0,46,6,0,1,23.0,46.0,12.0
Fiaz Ahmad,2,9.3,83,9,2,1,9.222222222222221,83.0,57.0
Abdullah Ghulam,1,1.2,57,5,4,0,57.0,57.0,8.0
Haroon Shahid,4,12.0,107,10,3,6,8.916666666666666,17.833333333333332,12.0
Mohammad Amin,2,3.2,34,4,1,0,11.333333333333334,34.0,20.0
Ali Zaheer,5,17.0,55,4,1,2,3.235294117647059,27.5,51.0
Adnan Idrees,2,3.2,52,5,3,1,17.333333333333332,52.0,20.0
Mohammed Awais,9,36.3,223,22,10,6,6.194444444444445,37.166666666666664,36.5
Nouman Sarwar,7,18.2,181,14,9,8,10.055555555555555,22.625,13.75
Mohammed Nadeem,13,74.2,373,29,10,16,5.04054054054054,23.3125,27.875
Iqbal Hussain,13,78.5,466,42,14,32,5.9743589743589745,14.5625,14.78125
Tamoor Sajjad,7,21.1,182,11,9,6,8.666666666666666,30.333333333333332,21.166666666666668
Iman-ul-Haq,2,5.4,60,8,1,4,12.0,15.0,8.5
MG Johnson,318,4263.4,16595,2016,152,686,3.892798498709829,24.190962099125365,37.291545189504376
MJ McClenaghan,144,794.0,5160,558,147,217,6.498740554156171,23.77880184331797,21.953917050691246
KV Sharma,65,255.3,1823,115,95,64,7.149019607843138,28.484375,23.953125
JJ Bumrah,127,663.0,3803,377,89,187,5.73604826546003,20.336898395721924,21.272727272727273
Harbhajan Singh,333,3719.2,14549,1104,267,502,3.9120731379403066,28.98207171314741,44.45418326693227
Washington Sundar,27,80.0,570,39,28,19,7.125,30.0,25.263157894736842
SN Thakur,34,117.3,987,104,38,39,8.435897435897436,25.307692307692307,18.076923076923077
JD Unadkat,80,333.2,2477,224,101,92,7.438438438438438,26.92391304347826,21.73913043478261
BA Stokes,151,1477.3,6579,807,81,192,4.454299255247123,34.265625,46.171875
DT Christian,145,497.3,3488,284,112,137,7.018108651911469,25.45985401459854,21.78832116788321
Imran Tahir,205,1800.5,8438,624,229,370,4.687777777777778,22.805405405405406,29.2027027027027
AC Thomas,35,124.5,858,84,20,37,6.919354838709677,23.18918918918919,20.243243243243242
J Botha,205,1192.3,6057,358,158,197,5.081375838926174,30.746192893401016,36.31979695431472
AW O'Brien,22,76.2,554,23,24,22,7.2894736842105265,25.181818181818183,20.818181818181817
KW Richardson,94,420.2,2919,277,97,129,6.95,22.627906976744185,19.550387596899224
BE McGain,4,24.4,262,23,17,2,10.916666666666666,131.0,74.0
XJ Doherty,100,760.4,3803,270,100,107,5.003947368421053,35.54205607476636,42.654205607476634
JJ Krejza,18,222.1,1102,94,17,31,4.963963963963964,35.54838709677419,43.0
RJG Lockyear,4,4.3,55,3,4,1,13.75,55.0,27.0
MJ Johnston,6,13.3,114,8,7,3,8.76923076923077,38.0,27.0
B Laughlin,88,334.4,2523,211,85,121,7.553892215568863,20.85123966942149,16.59504132231405
Naved-ul-Hasan,46,327.5,1830,223,25,76,5.5963302752293576,24.07894736842105,25.88157894736842
B Lee,212,1892.3,8260,964,114,342,4.365750528541226,24.15204678362573,33.20175438596491
MA Starc,178,2202.3,8829,1120,75,424,4.009536784741145,20.82311320754717,31.16745283018868
JR Hazlewood,91,1647.0,5528,645,60,238,3.3564055859137825,23.22689075630252,41.52100840336134
DJ Bravo,366,2136.4,11874,1015,286,503,5.558988764044944,23.606361829025843,25.487077534791254
SCG MacGill,9,100.4,472,43,16,12,4.72,39.333333333333336,50.333333333333336
SPD Smith,97,457.4,2383,180,52,72,5.214442013129103,33.09722222222222,38.138888888888886
NM Hauritz,86,1141.4,4339,332,90,129,3.8028045574057843,33.63565891472868,53.10077519379845
AC McDermott,14,45.1,378,30,16,21,8.4,18.0,12.904761904761905
JR Hopes,133,703.2,3745,306,78,121,5.327169274537695,30.950413223140497,34.87603305785124
ND Buchanan,5,11.1,124,13,5,4,11.272727272727273,31.0,16.75
CA Lynn,3,5.3,52,0,2,3,10.4,17.333333333333332,11.0
LA Doran,13,29.4,241,15,9,8,8.310344827586206,30.125,22.25
CH Gayle,176,962.5,4212,229,73,127,4.378378378378378,33.16535433070866,45.488188976377955
SJ Coyte,56,308.4,1369,143,11,71,4.444805194805195,19.281690140845072,26.08450704225352
FH Edwards,91,1144.0,4548,565,39,155,3.9755244755244754,29.34193548387097,44.28387096774193
SA Abbott,73,241.0,1977,174,77,91,8.203319502074688,21.725274725274726,15.89010989010989
LR Butterworth,3,8.0,78,3,4,4,9.75,19.5,12.0
DP Nannes,69,266.0,1762,199,43,99,6.62406015037594,17.7979797979798,16.12121212121212
SW Tait,115,645.5,3505,403,68,172,5.434108527131783,20.377906976744185,22.52906976744186
SM Harwood,11,45.5,343,34,9,15,7.622222222222222,22.866666666666667,18.333333333333332
GJ Maxwell,182,650.1,3916,257,119,106,6.024615384615385,36.943396226415096,36.801886792452834
Abdul Razzaq,84,431.4,2249,251,36,80,5.218097447795824,28.1125,32.375
Shahid Afridi,313,2068.5,10143,697,160,369,4.904738878143133,27.48780487804878,33.639566395663955
AB McDonald,23,166.2,681,68,19,28,4.102409638554217,24.321428571428573,35.642857142857146
DE Bollinger,126,1014.0,4598,544,77,205,4.534516765285996,22.429268292682927,29.678048780487806
JP Faulkner,203,1025.3,6575,578,181,289,6.414634146341464,22.750865051903116,21.290657439446367
JW Dernbach,65,367.2,2476,277,48,86,6.746594005449591,28.790697674418606,25.627906976744185
CJ McKay,114,724.3,3829,374,82,176,5.288674033149171,21.755681818181817,24.698863636363637
LJ Wright,80,269.3,1670,138,35,43,6.20817843866171,38.83720930232558,37.604651162790695
DJ Hussey,101,275.5,1721,100,49,61,6.258181818181818,28.21311475409836,27.131147540983605
SK Warne,65,241.5,1687,100,70,69,7.0,24.44927536231884,21.028985507246375
AK Heal,3,8.4,86,2,5,3,10.75,28.666666666666668,17.333333333333332
NM Lyon,116,3087.2,10334,906,212,333,3.3475866537091026,31.033033033033032,55.627627627627625
MA Beer,54,254.1,1386,108,29,48,5.456692913385827,28.875,31.770833333333332
NJ Rimmington,42,134.4,1046,106,28,47,7.8059701492537314,22.25531914893617,17.19148936170213
MR Marsh,116,748.5,3644,359,80,118,4.871657754010696,30.88135593220339,38.07627118644068
BM Edmondson,9,33.0,304,30,10,19,9.212121212121213,16.0,10.421052631578947
GB Hogg,142,809.1,4258,260,114,169,5.263288009888751,25.19526627218935,28.727810650887573
PD Collingwood,148,780.4,3649,264,53,112,4.6782051282051285,32.580357142857146,41.82142857142857
BW Hilfenhaus,107,1447.5,5222,624,70,202,3.6088458880442293,25.85148514851485,43.004950495049506
RJ Harris,91,1304.3,4649,588,44,220,3.5651840490797544,21.131818181818183,35.57727272727273
MG Neser,50,172.1,1405,139,49,52,8.168604651162791,27.01923076923077,19.865384615384617
