Batsmen,id
G Gambhir,0
SP Narine,1
RV Uthappa,2
MK Pandey,3
YK Pathan,4
SA Yadav,5
C de Grandhomme,6
CR Woakes,7
NM Coulter-Nile,8
Kuldeep Yadav,9
UT Yadav,10
CH Gayle,11
V Kohli,12
Mandeep Singh,13
AB de Villiers,14
KM Jadhav,15
STR Binny,16
S Badree,17
P Negi,18
TS Mills,19
S Aravind,20
YS Chahal,21
Iman-ul-Haq,22
Qalandar Khan,23
Mohammad Rizlan,24
Tamoor Sajjad,25
Nouman Sarwar,26
Kamran Khan (2),27
Mohammed Awais,28
Zaheer Ibrahim,29
Usman Waheed,30
Mohammed Irfan,31
Aamir Javed,32
Mohammad Amin,33
Ali Zaheer,34
Adnan Idrees,35
Mohammed Ghulam,36
Imran Ali,37
Haroon Shahid,38
Abdullah Ghulam,39
Fiaz Ahmad,40
AM Rahane,41
RA Tripathi,42
SPD Smith,43
MS Dhoni,44
BA Stokes,45
MK Tiwary,46
DT Christian,47
Washington Sundar,48
PA Patel,49
JC Buttler,50
N Rana,51
RG Sharma,52
KV Sharma,53
KA Pollard,54
HH Pandya,55
Harbhajan Singh,56
JW Wells,57
PA Jaques,58
TR Birt,59
OA Shah,60
TIF Triffitt,61
MJ Johnston,62
AC Blizzard,63
M Klinger,64
AJ Crosthwaite,65
CJ Ferguson,66
CJ Borgas,67
TLW Cooper,68
J Botha,69
KW Richardson,70
AW O'Brien,71
AC Thomas,72
BB McCullum,73
ML Hayden,74
JR Hopes,75
CA Lynn,76
AW Robinson,77
PJ Forrest,78
CD Hartley,79
ND Buchanan,80
BJ Haddin,81
MJ Lumb,82
NJ Maddinson,83
MC Henriques,84
AJ Finch,85
BJ Hodge,86
Shahid Afridi,87
GJ Maxwell,88
NJ Reardon,89
Abdul Razzaq,90
AB McDonald,91
GA Manou,92
TD Cruickshank,93
UT Khawaja,94
DLR Smith,95
BR Dunk,96
JS Floros,97
LR Butterworth,98
SA Abbott,99
RJ Quiney,100
MS Wade,101
GJ Bailey,102
DJ Hussey,103
CL White,104
AC Voges,105
LJ Wright,106
JP Faulkner,107
CJ McKay,108
DA Warner,109
CA Philipson,110
DJ Harris,111
MJ Buchanan,112
AK Heal,113
DP Nannes,114
SW Tait,115
RT Ponting,116
RJG Lockyear,117
JJ Krejza,118
Naved-ul-Hasan,119
XJ Doherty,120
BW Hilfenhaus,121
B Laughlin,122
HH Gibbs,123
MJ North,124
SM Katich,125
MEK Hussey,126
